INSTRUMENT,SYMBOL,EXPIRY_DT,STRIKE_PR,OPTION_TYP,OPEN,HIGH,LOW,CLOSE,SETTLE_PR,CONTRACTS,VAL_INLAKH,OPEN_INT,CHG_IN_OI,TIMESTAMP
OPTSTK,GAIL,31-Oct-19,132.5,CE,0,0,0,11.95,6.75,0,0,0,0,28-Aug-19
OPTSTK,SRF,31-Oct-19,3450,CE,0,0,0,19.6,78.3,0,0,0,0,28-Aug-19
OPTSTK,ACC,31-Oct-19,1840,CE,0,0,0,31.75,16.65,0,0,0,0,28-Aug-19
OPTSTK,ACC,31-Oct-19,1680,PE,0,0,0,139.3,166.4,0,0,0,0,28-Aug-19
OPTSTK,PEL,31-Oct-19,2050,PE,0,0,0,394.05,251.2,0,0,0,0,28-Aug-19
OPTSTK,HDFCBANK,31-Oct-19,1980,CE,0,0,0,351.1,305.65,0,0,0,0,28-Aug-19
OPTSTK,POWERGRID,31-Oct-19,167.5,PE,0,0,0,0.35,0.3,0,0,0,0,28-Aug-19
OPTSTK,MOTHERSUMI,31-Oct-19,110,PE,0,0,0,7.75,17.45,0,0,0,0,28-Aug-19
OPTSTK,CASTROLIND,31-Oct-19,147.5,PE,0,0,0,23.4,24.75,0,0,0,0,28-Aug-19
OPTSTK,SAIL,31-Oct-19,30,PE,0,0,0,0.4,2.9,0,0,0,0,28-Aug-19
OPTSTK,UNIONBANK,31-Oct-19,72.5,CE,0,0,0,7.25,1.5,0,0,0,0,28-Aug-19
OPTSTK,GAIL,31-Oct-19,127.5,PE,0,0,0,5.3,7.1,0,0,0,0,28-Aug-19
OPTSTK,APOLLOTYRE,31-Oct-19,145,CE,0,0,0,23.65,28.35,0,0,0,0,28-Aug-19
OPTSTK,GLENMARK,31-Oct-19,430,CE,0,0,0,31.3,14.5,0,0,0,0,28-Aug-19
OPTSTK,APOLLOHOSP,31-Oct-19,1680,PE,0,0,0,317.8,200.4,0,0,0,0,28-Aug-19
OPTSTK,AMBUJACEM,31-Oct-19,270,CE,0,0,0,1.45,0.5,0,0,0,0,28-Aug-19
OPTSTK,NBCC,26-Sep-19,62,PE,0,0,0,6.15,25.95,0,0,0,0,28-Aug-19
OPTSTK,NTPC,29-Aug-19,135,PE,0,0,0,9.9,15.1,0,0,110400,0,28-Aug-19
FUTSTK,CADILAHC,26-Sep-19,0,XX,219.9,224.9,217.4,223.3,223.3,2630,9251.64,9262400,2441600,28-Aug-19
OPTSTK,TVSMOTOR,26-Sep-19,320,CE,0,0,0,115.7,46.1,0,0,0,0,28-Aug-19
OPTSTK,NBCC,26-Sep-19,69,CE,0,0,0,3.5,0.1,0,0,0,0,28-Aug-19
OPTSTK,HINDZINC,29-Aug-19,257.5,PE,0,0,0,17.9,46.7,0,0,0,0,28-Aug-19
OPTSTK,OFSS,26-Sep-19,3140,CE,0,0,0,227.75,84.95,0,0,0,0,28-Aug-19
OPTSTK,MINDTREE,29-Aug-19,1160,PE,0,0,0,159.85,482.75,0,0,0,0,28-Aug-19
OPTSTK,VOLTAS,26-Sep-19,750,CE,0,0,0,13.35,0.55,0,0,0,0,28-Aug-19
OPTSTK,ULTRACEMCO,29-Aug-19,4300,CE,8.05,16,2.35,3.3,3.3,746,6424.8,50200,4800,28-Aug-19
OPTSTK,APOLLOTYRE,29-Aug-19,190,CE,0.05,0.1,0.05,0.1,0,2,11.4,27000,-6000,28-Aug-19
OPTSTK,CHOLAFIN,26-Sep-19,195,CE,0,0,0,94.1,72.5,0,0,0,0,28-Aug-19
OPTSTK,HINDZINC,29-Aug-19,280,PE,0,0,0,29.35,69.2,0,0,0,0,28-Aug-19
FUTIDX,BANKNIFTY,29-Aug-19,0,XX,28085.25,28118.15,27621.05,27837.65,27837.65,173399,966000.83,1307880,-40580,28-Aug-19
OPTSTK,M&MFIN,29-Aug-19,530,CE,0,0,0,7.45,0,0,0,0,0,28-Aug-19
OPTSTK,NMDC,29-Aug-19,102.5,CE,0,0,0,0.05,0,0,0,252000,0,28-Aug-19
OPTSTK,RAMCOCEM,26-Sep-19,880,PE,0,0,0,86.45,125.7,0,0,0,0,28-Aug-19
OPTSTK,TATAGLOBAL,29-Aug-19,260,PE,0.45,0.45,0.1,0.1,0.1,71,498.86,124200,-62100,28-Aug-19
OPTSTK,CADILAHC,29-Aug-19,170,CE,0,0,0,90.15,53.3,0,0,0,0,28-Aug-19
OPTSTK,LT,26-Sep-19,1240,PE,7.5,10.05,7.35,9.15,9.15,38,177.88,15375,-375,28-Aug-19
OPTIDX,BANKNIFTY,29-Aug-19,31600,PE,0,0,0,1417.95,3790.65,0,0,0,0,28-Aug-19
OPTIDX,NIFTY,26-Dec-19,9100,CE,0,0,0,2223.95,2138.85,0,0,0,0,28-Aug-19
OPTIDX,BANKNIFTY,5-Sep-19,29100,CE,55.15,65,21.65,31.4,31.4,1025,5972.26,3320,2400,28-Aug-19
OPTSTK,IOC,26-Sep-19,175,PE,0,0,0,20.6,51.3,0,0,0,0,28-Aug-19
OPTSTK,TITAN,29-Aug-19,980,CE,0,0,0,122.35,131.15,0,0,4500,0,28-Aug-19
OPTIDX,BANKNIFTY,12-Sep-19,31600,PE,0,0,0,1285.8,3727.45,0,0,0,0,28-Aug-19
OPTSTK,HAVELLS,29-Aug-19,560,CE,0,0,0,170.35,106.3,0,0,0,0,28-Aug-19
OPTSTK,HAVELLS,29-Aug-19,720,CE,0.1,0.1,0.1,0.1,0,1,7.2,41000,-1000,28-Aug-19
OPTIDX,NIFTY,10-Oct-19,12550,CE,0,0,0,9.5,8.95,0,0,0,0,28-Aug-19
OPTSTK,M&M,26-Sep-19,780,CE,0,0,0,8.05,0.1,0,0,0,0,28-Aug-19
OPTSTK,WIPRO,26-Sep-19,325,CE,0,0,0,1.4,0,0,0,0,0,28-Aug-19
OPTSTK,EICHERMOT,29-Aug-19,15750,CE,459.05,549.95,400,501.45,501.45,17,68.96,275,-100,28-Aug-19
OPTSTK,COALINDIA,29-Aug-19,305,PE,0,0,0,48.15,119.9,0,0,0,0,28-Aug-19
OPTSTK,M&M,26-Sep-19,470,CE,0,0,0,57.5,76.7,0,0,2000,0,28-Aug-19
OPTSTK,IGL,26-Sep-19,255,CE,0,0,0,64.95,79.25,0,0,0,0,28-Aug-19
OPTSTK,EICHERMOT,29-Aug-19,25500,CE,0,0,0,414.5,0,0,0,0,0,28-Aug-19
OPTSTK,LICHSGFIN,26-Sep-19,470,PE,50,50,50,50,60.25,20,114.4,51700,11000,28-Aug-19
OPTSTK,UPL,29-Aug-19,780,PE,0,0,0,156.25,222.9,0,0,0,0,28-Aug-19
OPTSTK,AMBUJACEM,29-Aug-19,195,PE,0.2,0.25,0.2,0.25,0,2,9.76,62500,0,28-Aug-19
OPTSTK,IOC,26-Sep-19,95,PE,0,0,0,0.15,0.05,0,0,0,0,28-Aug-19
OPTSTK,TECHM,29-Aug-19,780,PE,94,94,94,94,89.7,1,10.48,10800,0,28-Aug-19
OPTSTK,COALINDIA,29-Aug-19,150,PE,0,0,0,0.3,0,0,0,4400,0,28-Aug-19
OPTSTK,PVR,26-Sep-19,1240,PE,0,0,0,4.3,2.1,0,0,1600,0,28-Aug-19
OPTSTK,TATASTEEL,29-Aug-19,540,CE,0.05,0.05,0.05,0.05,0,1,5.72,3183,-1061,28-Aug-19
OPTSTK,UPL,29-Aug-19,540,CE,21,21,10,17.9,17.9,5,25.04,42300,-1800,28-Aug-19
OPTSTK,ESCORTS,29-Aug-19,460,PE,0.55,0.6,0.1,0.2,0.2,64,324.1,50600,-20900,28-Aug-19
OPTSTK,TATAGLOBAL,31-Oct-19,265,PE,0,0,0,22.75,10.25,0,0,0,0,28-Aug-19
OPTSTK,HINDUNILVR,31-Oct-19,1720,PE,0,0,0,57.6,17.3,0,0,0,0,28-Aug-19
OPTSTK,CUMMINSIND,31-Oct-19,760,PE,0,0,0,44.15,183.95,0,0,0,0,28-Aug-19
OPTSTK,TATAGLOBAL,31-Oct-19,245,CE,0,0,0,23.35,42.2,0,0,0,0,28-Aug-19
