symbol,expiryDate,tdyClose,tdyTraded,tdyDelivery,deliveryToTradeRatio,tdyOI
MUTHOOTFIN,29-Aug-0019,622.95,643394,246471,38.0,793500
BSOFT,29-Aug-0019,66.95,1107641,366370,33.0,816000
ICICIPRULI,29-Aug-0019,416.95,5222971,1979369,37.0,1596000
GRASIM,29-Aug-0019,713.5,1394469,280182,20.0,1546500
PETRONET,29-Aug-0019,260.05,4536646,1759736,38.0,2880000
BANKINDIA,29-Aug-0019,67.7,7898518,639412,8.0,6918000
CONCOR,29-Aug-0019,485.2,687754,317955,46.0,653334
ASHOKLEY,29-Aug-0019,66.75,31618285,4909290,15.0,18300000
STAR,29-Aug-0019,373.75,701015,81539,11.0,884400
IDEA,29-Aug-0019,5.0,153324776,46816890,30.0,201880000
INDIGO,29-Aug-0019,1659.25,1248510,84891,6.0,981000
MGL,29-Aug-0019,855.35,594636,165941,27.0,993000
M&MFIN,29-Aug-0019,319.75,1743982,518384,29.0,1775000
AMARAJABAT,29-Aug-0019,612.6,273656,63147,23.0,614600
TATACHEM,29-Aug-0019,565.0,657220,205659,31.0,516600
HDFC,29-Aug-0019,2187.15,3291574,1675762,50.0,4724000
BHARTIARTL,29-Aug-0019,345.8,5524473,1993897,36.0,9654816
EXIDEIND,29-Aug-0019,178.4,788967,200726,25.0,2836800
ADANIPORTS,29-Aug-0019,365.95,2186454,853895,39.0,5642500
BAJAJFINSV,29-Aug-0019,7035.95,392626,73053,18.0,255625
MCDOWELL-N,29-Aug-0019,599.8,1327138,434230,32.0,2567500
TATAMOTORS,29-Aug-0019,116.35,74245952,4810892,6.0,16221000
SUNPHARMA,29-Aug-0019,413.1,3441725,506965,14.0,9013400
JINDALSTEL,29-Aug-0019,95.8,21128544,3165541,14.0,8604800
LUPIN,29-Aug-0019,732.1,823769,177284,21.0,1814400
NESTLEIND,29-Aug-0019,12517.4,103647,51284,49.0,55750
RELCAPITAL,29-Aug-0019,34.65,17592040,1412300,8.0,4905000
CESC,29-Aug-0019,765.6,265699,119730,45.0,188800
BERGEPAINT,29-Aug-0019,366.4,692299,236668,34.0,1262800
SIEMENS,29-Aug-0019,1177.95,140431,28761,20.0,411950
BOSCHLTD,29-Aug-0019,14198.45,10376,3841,37.0,31320
SRTRANSFIN,29-Aug-0019,991.65,1093311,278787,25.0,1244400
MANAPPURAM,29-Aug-0019,121.5,2607170,761714,29.0,4620000
TATASTEEL,29-Aug-0019,336.95,12641716,1663311,13.0,10090110
GAIL,29-Aug-0019,128.05,11370702,6092470,53.0,12540234
GMRINFRA,29-Aug-0019,15.25,6463307,1546568,23.0,58950000
BAJFINANCE,29-Aug-0019,3326.35,1250915,145691,11.0,1228250
HEXAWARE,29-Aug-0019,386.65,632373,193712,30.0,895500
MCX,29-Aug-0019,942.75,1578619,335481,21.0,435400
COLPAL,29-Aug-0019,1213.05,283377,91776,32.0,406700
DLF,29-Aug-0019,164.2,16114232,3961259,24.0,8537200
VEDL,29-Aug-0019,132.35,8697082,1883141,21.0,15513000
SBIN,29-Aug-0019,284.9,18979998,5072283,26.0,37872000
MOTHERSUMI,29-Aug-0019,97.6,10172681,2242455,22.0,10022100
PIDILITIND,29-Aug-0019,1378.35,423936,53096,12.0,497000
ENGINERSIN,29-Aug-0019,104.1,2987918,762135,25.0,2143600
BIOCON,29-Aug-0019,220.85,3686564,1203031,32.0,1857600
OIL,29-Aug-0019,144.0,1479674,834422,56.0,1515954
TORNTPOWER,29-Aug-0019,280.85,912918,298700,32.0,1140000
IBULHSGFIN,29-Aug-0019,457.25,19588825,1325787,6.0,5761600
DIVISLAB,29-Aug-0019,1576.65,419022,124408,29.0,392000
UJJIVAN,29-Aug-0019,283.8,2034903,248504,12.0,2209600
OFSS,29-Aug-0019,3006.45,14112,7262,51.0,74400
ULTRACEMCO,29-Aug-0019,4119.8,547969,199195,36.0,651200
LICHSGFIN,29-Aug-0019,417.8,2728994,1148108,42.0,3117400
NATIONALUM,29-Aug-0019,39.85,4029756,1472517,36.0,6280000
IDFCFIRSTB,29-Aug-0019,42.15,20933529,9043057,43.0,24900000
CIPLA,29-Aug-0019,464.25,2193022,470499,21.0,3357000
EICHERMOT,29-Aug-0019,16297.45,193318,63635,32.0,127000
AMBUJACEM,29-Aug-0019,205.0,1674581,576190,34.0,4557500
ITC,29-Aug-0019,245.95,8894489,5401010,60.0,29829600
ADANIENT,29-Aug-0019,135.95,5312871,976233,18.0,6692000
HDFCBANK,29-Aug-0019,2247.5,3415647,1934486,56.0,7300000
CENTURYTEX,29-Aug-0019,847.2,498864,54079,10.0,682800
