instrument,symbol,expiryDate,strikePrice,optionType,contracts,hammer,cmTdyClose,cmPrcntChgInClose,foTdyClose,foPrcntChgInClose,tdyOI,prcntChgInOI,tdyDelivery,prcntChgInDelivery,tdyDate,cmPrevsClose,foPrevsClose,prevsOI,prevsDelivery,prevsDate
FUTSTK,MUTHOOTFIN,29-Aug-0019,0.0,XX,1029,,622.95,-2.0,624.1,0.0,793500,0.0,246471,-33.0,28-Aug-0019,635.5,624.1,793500,370427,28-Aug-0019
FUTSTK,BSOFT,29-Aug-0019,0.0,XX,470,,66.95,4.0,67.0,0.0,816000,0.0,366370,-52.0,28-Aug-0019,64.55,67.0,816000,755705,28-Aug-0019
FUTSTK,ICICIPRULI,29-Aug-0019,0.0,XX,5760,,416.95,5.0,418.2,0.0,1596000,0.0,1979369,169.0,28-Aug-0019,398.95,418.2,1596000,735112,28-Aug-0019
FUTSTK,GRASIM,29-Aug-0019,0.0,XX,5033,,713.5,-1.0,714.05,0.0,1546500,0.0,280182,-61.0,28-Aug-0019,723.95,714.05,1546500,710794,28-Aug-0019
FUTSTK,PETRONET,29-Aug-0019,0.0,XX,2420,Hammer,260.05,1.0,259.65,0.0,2880000,0.0,1759736,-63.0,28-Aug-0019,258.5,259.65,2880000,4745948,28-Aug-0019
FUTSTK,BANKINDIA,29-Aug-0019,0.0,XX,4345,,67.7,-2.0,67.8,0.0,6918000,0.0,639412,-25.0,28-Aug-0019,69.3,67.8,6918000,849907,28-Aug-0019
FUTSTK,CONCOR,29-Aug-0019,0.0,XX,831,,485.2,-2.0,486.8,0.0,653334,0.0,317955,-54.0,28-Aug-0019,495.8,486.8,653334,692941,28-Aug-0019
FUTSTK,ASHOKLEY,29-Aug-0019,0.0,XX,8828,,66.75,0.0,66.4,0.0,18300000,0.0,4909290,-65.0,28-Aug-0019,66.65,66.4,18300000,13933460,28-Aug-0019
FUTSTK,STAR,29-Aug-0019,0.0,XX,1333,,373.75,-1.0,374.15,0.0,884400,0.0,81539,-45.0,28-Aug-0019,378.75,374.15,884400,148723,28-Aug-0019
FUTSTK,IDEA,29-Aug-0019,0.0,XX,9148,,5.0,-6.0,4.95,0.0,201880000,0.0,46816890,-7.0,28-Aug-0019,5.3,4.95,201880000,50101511,28-Aug-0019
FUTSTK,INDIGO,29-Aug-0019,0.0,XX,5635,,1659.25,1.0,1659.15,0.0,981000,0.0,84891,-74.0,28-Aug-0019,1648.6,1659.15,981000,322513,28-Aug-0019
FUTSTK,MGL,29-Aug-0019,0.0,XX,1967,,855.35,-1.0,846.15,0.0,993000,0.0,165941,-83.0,28-Aug-0019,861.15,846.15,993000,990345,28-Aug-0019
FUTSTK,M&MFIN,29-Aug-0019,0.0,XX,4595,,319.75,-5.0,319.8,0.0,1775000,0.0,518384,-74.0,28-Aug-0019,337.1,319.8,1775000,2027237,28-Aug-0019
FUTSTK,AMARAJABAT,29-Aug-0019,0.0,XX,1380,,612.6,-2.0,611.9,0.0,614600,0.0,63147,20.0,28-Aug-0019,622.7,611.9,614600,52836,28-Aug-0019
FUTSTK,TATACHEM,29-Aug-0019,0.0,XX,2064,,565.0,1.0,565.45,0.0,516600,0.0,205659,-35.0,28-Aug-0019,559.7,565.45,516600,316987,28-Aug-0019
FUTSTK,HDFC,29-Aug-0019,0.0,XX,16787,,2187.15,1.0,2184.05,0.0,4724000,0.0,1675762,-67.0,28-Aug-0019,2174.3,2184.05,4724000,5104126,28-Aug-0019
FUTSTK,BHARTIARTL,29-Aug-0019,0.0,XX,8529,,345.8,-1.0,345.65,0.0,9654816,0.0,1993897,-92.0,28-Aug-0019,348.3,345.65,9654816,24092969,28-Aug-0019
FUTSTK,EXIDEIND,29-Aug-0019,0.0,XX,1183,,178.4,-2.0,178.45,0.0,2836800,0.0,200726,-25.0,28-Aug-0019,182.85,178.45,2836800,265950,28-Aug-0019
FUTSTK,ADANIPORTS,29-Aug-0019,0.0,XX,3155,,365.95,-2.0,366.8,0.0,5642500,0.0,853895,-33.0,28-Aug-0019,372.05,366.8,5642500,1277053,28-Aug-0019
